,district,ward,type_of_housing,legal_paper,num_floors,num_bed_rooms,squared_meter_area,length_meter,width_meter,price_in_million_per_square_meter
7551,Nam Từ Liêm,Mễ Trì,"Nhà ngõ, hẻm",Đã có sổ,5,3,33.0,9.0,3.6,81.82
7580,Hà Đông,Phú Lãm,"Nhà ngõ, hẻm",Đã có sổ,3,3,33.0,8.0,4.0,49.39
7588,Hoàng Mai,Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,5,4,30.0,9.0,3.5,100.0
7591,Hà Đông,Dương Nội,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,38.0,11.0,3.5,59.74
7599,Đống Đa,Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,5,5,35.0,9.0,4.0,100.0
7602,Hà Đông,Nguyễn Trãi,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,38.0,10.0,4.0,73.68
7613,Hà Đông,Mộ Lao,"Nhà ngõ, hẻm",Đã có sổ,5,4,31.0,7.8,4.0,93.23
7616,Hà Đông,Hà Cầu,"Nhà mặt phố, mặt tiền",Đã có sổ,4,5,36.0,9.0,4.0,72.22
7617,Hai Bà Trưng,Quỳnh Mai,"Nhà ngõ, hẻm",Đã có sổ,5,4,40.0,10.5,3.8,85.0
7626,Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,5,4,35.0,8.2,3.9,95.71
7629,Hoàng Mai,Thanh Trì,"Nhà ngõ, hẻm",Đã có sổ,5,4,40.0,10.0,4.0,62.5
7635,Hà Đông,La Khê,"Nhà ngõ, hẻm",Đã có sổ,5,4,32.0,8.0,4.0,73.44
7655,Thanh Xuân,Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,3,3,33.0,10.0,3.3,72.73
7656,Ba Đình,Vĩnh Phúc,"Nhà ngõ, hẻm",Đã có sổ,4,4,40.0,11.5,4.0,145.0
7659,Bắc Từ Liêm,Xuân Đỉnh,"Nhà ngõ, hẻm",Đã có sổ,6,4,40.0,9.0,4.5,80.0
7663,Hà Đông,La Khê,"Nhà ngõ, hẻm",Đã có sổ,5,3,35.0,9.0,4.0,84.29
7666,Đống Đa,Khâm Thiên,"Nhà ngõ, hẻm",Đã có sổ,4,3,22.0,11.0,2.1,81.82
7679,Nam Từ Liêm,Phương Canh,"Nhà mặt phố, mặt tiền",Đã có sổ,4,3,31.0,5.4,5.8,79.03
7707,Hà Đông,La Khê,Nhà phố liền kề,Đã có sổ,5,3,52.0,12.0,4.0,102.88
7723,Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,5,4,43.0,11.0,4.0,86.05
7724,Thanh Xuân,Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,5,4,35.0,6.0,6.0,117.14
7743,Đống Đa,Láng Hạ,"Nhà ngõ, hẻm",Đã có sổ,5,4,30.0,10.0,3.5,125.0
7745,Thanh Xuân,Khương Trung,"Nhà ngõ, hẻm",Đã có sổ,5,3,30.0,9.0,4.0,95.0
7783,Đống Đa,Hàng Bột,"Nhà mặt phố, mặt tiền",Đã có sổ,5,3,30.0,5.0,6.0,131.67
7808,Hà Đông,Yên Nghĩa,"Nhà ngõ, hẻm",Đã có sổ,4,3,34.0,10.0,3.4,49.41
7835,Hoàng Mai,Vĩnh Hưng,"Nhà ngõ, hẻm",Đã có sổ,5,4,40.0,8.0,5.0,53.75
7836,Đống Đa,Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,4,60.0,12.0,5.0,158.33
7838,Cầu Giấy,Dịch Vọng Hậu,"Nhà ngõ, hẻm",Đã có sổ,5,5,50.0,10.5,4.8,86.0
7855,Đống Đa,Trung Liệt,"Nhà ngõ, hẻm",Đã có sổ,5,4,40.0,8.0,5.0,91.25
7858,Thanh Xuân,Nhân Chính,"Nhà ngõ, hẻm",Đã có sổ,5,4,52.0,13.0,4.0,100.0
7859,Long Biên,Bồ Đề,"Nhà mặt phố, mặt tiền",Đã có sổ,5,5,47.0,12.0,4.0,102.13
7868,Huyện Hoài Đức,Xã Đông La,"Nhà ngõ, hẻm",Đã có sổ,3,3,34.0,10.0,3.4,38.82
7870,Hai Bà Trưng,Thanh Lương,"Nhà ngõ, hẻm",Đã có sổ,4,4,38.0,9.5,4.0,75.0
7876,Hà Đông,Đồng Mai,"Nhà ngõ, hẻm",Đã có sổ,3,3,32.0,8.8,3.6,37.19
7880,Cầu Giấy,Yên Hoà,"Nhà ngõ, hẻm",Đã có sổ,3,2,35.0,11.0,3.0,80.0
7884,Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Đã có sổ,5,4,46.0,13.0,3.5,71.74
7889,Hoàng Mai,Đại Kim,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,45.0,9.0,5.0,115.56
7891,Hà Đông,Văn Quán,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,36.0,9.0,4.0,72.22
7899,Hoàng Mai,Lĩnh Nam,"Nhà ngõ, hẻm",Đã có sổ,4,4,47.0,12.0,3.9,93.62
7903,Thanh Xuân,Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,5,4,40.0,12.0,3.6,100.0
7920,Thanh Xuân,Kim Giang,"Nhà ngõ, hẻm",Đã có sổ,4,4,40.0,12.0,3.6,100.0
7933,Hà Đông,Phú Lãm,"Nhà ngõ, hẻm",Đã có sổ,4,4,35.0,10.0,3.5,49.14
7937,Cầu Giấy,Nghĩa Đô,"Nhà ngõ, hẻm",Đã có sổ,4,2,32.0,10.0,3.2,100.0
