,district,ward,type_of_housing,legal_paper,num_floors,num_bed_rooms,squared_meter_area,length_meter,width_meter,price_in_million_per_square_meter
1706,Hai Bà Trưng,Bạch Đằng,"Nhà mặt phố, mặt tiền",Đã có sổ,3,3,23.0,8.0,4.6,108.7
1733,Hà Đông,La Khê,"Nhà ngõ, hẻm",Đã có sổ,4,4,34.0,10.0,3.5,58.24
1754,Hai Bà Trưng,Trương Định,"Nhà mặt phố, mặt tiền",Đã có sổ,5,2,30.0,5.0,5.8,95.0
1802,Thanh Xuân,Khương Đình,"Nhà ngõ, hẻm",Đã có sổ,4,4,58.0,10.0,6.0,55.17
1827,Hoàng Mai,Định Công,"Nhà ngõ, hẻm",Đã có sổ,5,4,47.0,14.0,3.3,65.96
1845,Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,4,4,45.0,4.0,4.0,75.56
1853,Hà Đông,La Khê,"Nhà mặt phố, mặt tiền",Đã có sổ,4,4,40.0,10.0,4.0,92.75
1864,Huyện Hoài Đức,Xã Đông La,"Nhà ngõ, hẻm",Đã có sổ,3,3,32.0,8.0,4.0,41.56
1867,Hà Đông,La Khê,Nhà phố liền kề,Đã có sổ,5,4,57.0,13.0,4.0,114.04
1897,Hoàng Mai,Tân Mai,"Nhà ngõ, hẻm",Đã có sổ,5,3,35.0,7.0,4.8,77.14
1903,Bắc Từ Liêm,Xuân Đỉnh,"Nhà ngõ, hẻm",Đã có sổ,4,4,52.0,13.0,3.6,75.96
1921,Hà Đông,Phúc La,"Nhà ngõ, hẻm",Đã có sổ,4,4,38.0,10.0,3.4,76.32
1933,Đống Đa,Nam Đồng,"Nhà ngõ, hẻm",Đã có sổ,4,3,25.0,6.0,5.0,98.0
1961,Hà Đông,Văn Quán,"Nhà ngõ, hẻm",Đã có sổ,4,3,34.0,9.0,4.0,73.53
1994,Nam Từ Liêm,Xuân Phương,"Nhà ngõ, hẻm",Đã có sổ,4,3,33.0,8.0,4.0,72.73
2028,Thanh Xuân,Hạ Đình,"Nhà ngõ, hẻm",Đã có sổ,5,3,40.0,10.0,4.0,91.25
2063,Hai Bà Trưng,Vĩnh Tuy,"Nhà mặt phố, mặt tiền",Đã có sổ,5,4,50.0,10.0,5.0,93.0
2101,Nam Từ Liêm,Xuân Phương,"Nhà ngõ, hẻm",Đã có sổ,4,4,34.0,6.09,5.58,77.35
2117,Hai Bà Trưng,Minh Khai,"Nhà ngõ, hẻm",Đã có sổ,5,3,72.0,4.0,4.0,53.47
2165,Đống Đa,Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,5,3,35.0,9.5,3.8,94.29
2171,Ba Đình,Vĩnh Phúc,"Nhà ngõ, hẻm",Đã có sổ,5,4,60.0,13.0,4.0,115.0
2186,Đống Đa,Ô Chợ Dừa,"Nhà ngõ, hẻm",Đã có sổ,3,4,60.0,15.0,4.0,41.67
2213,Hà Đông,Nguyễn Trãi,"Nhà ngõ, hẻm",Đã có sổ,3,3,33.0,10.0,3.3,81.82
2222,Cầu Giấy,Mai Dịch,"Nhà ngõ, hẻm",Đã có sổ,5,3,35.0,9.0,4.0,91.43
2228,Hai Bà Trưng,Trương Định,"Nhà ngõ, hẻm",Đã có sổ,5,5,50.0,10.0,5.0,87.0
2231,Huyện Hoài Đức,Xã La Phù,"Nhà ngõ, hẻm",Đã có sổ,4,3,33.0,8.0,4.0,47.88
